,FULL_NAME,GENDER,GENDERS_TO_MATCH_WITH,GROUP|Class,GROUP|Grade,YN,SC|3,SC|5,MC|5,RT|10,
2025-12-30T11:34:17+00:00,Emma Wilson,FEMALE,MALE;FEMALE,10A,10,Yep,Group Study,Night,Homework;Science projects,6,A lovely project
2025-12-31T12:28:45+00:00,Liam Brown,MALE,FEMALE,10A,10,Nope,Group Study,Late Afternoon,Essay writing;Homework;Test preparation,9,I love it!
2025-12-29T13:57:26+00:00,Noah Davis,MALE,MALE;FEMALE,11A,11,Yep,Mixed Approach,Afternoon,Homework;Test preparation;Note taking;Essay writing,10,meh...
2025-12-20T15:30:23+00:00,Ava Johnson,FEMALE,MALE;FEMALE,11B,11,Yep,Group Study,Morning,Science projects,7,Huge thank you to whoever made this project!
2025-12-17T09:12:48+00:00,Mason Clark,MALE,FEMALE,10B,10,Nope,Solo Study,Evening,Essay writing;Note taking,4,A lovely project
2025-12-26T06:01:00+00:00,Sophia Martinez,FEMALE,MALE;FEMALE,9C,9,Yep,Mixed Approach,Afternoon,Essay writing;Homework;Science projects,6,Quite interesting indeed
2025-12-29T18:05:14+00:00,Ethan Lewis,MALE,FEMALE,9C,9,Nope,Solo Study,Late Afternoon,Homework;Test preparation,2,I can't wait for next year's Valentine's matching!
2025-12-30T15:47:26+00:00,Olivia Young,FEMALE,MALE,9A,9,Yep,Group Study,Night,Note taking;Test preparation,8,
2025-12-30T23:20:00+00:00,James Walker,MALE,FEMALE,11B,11,Nope,Solo Study,Evening,Homework;Essay writing,3,I love love love it!
2025-12-31T14:55:16+00:00,Isabella Hall,FEMALE,MALE;FEMALE,10C,10,Yep,Mixed Approach,Afternoon,Science projects;Note taking;Homework,8,"Thanks, awesome work!"
2025-12-11T17:39:56+00:00,Benjamin Allen,MALE,MALE;FEMALE,11A,11,Yep,Solo Study,Night,Homework,6,
2025-12-20T15:28:45+00:00,Charlotte King,FEMALE,MALE,9B,9,Nope,Solo Study,Late Afternoon,Essay writing;Note taking,9,I like it
2025-12-22T12:15:32+00:00,Lucas Scott,MALE,MALE;FEMALE,11C,11,Yep,Mixed Approach,Afternoon,Test preparation;Note taking;Essay writing,2,Could have been better
2025-12-18T13:03:39+00:00,Amelia Green,FEMALE,MALE;FEMALE,10A,10,Yep,Group Study,Morning,Note taking,9,interesting concept
